"Bono","Moneda","Fecha_Vencimiento","Fecha_Licitacion","Cupo","Monto_Demandado","Monto_Asignado","Tasa_Corte","BTC"
"BTP0621040","CLP",2040-10-01,2024-09-26,80000,112000,80000,5.1,1.4
"BTU0190930","UF",2030-09-01,2024-09-26,2000,4630,2000,2.11,2.315
"BTU0281155","UF",2055-11-01,2024-09-26,3000,8290,3000,1.76,2.76333333333333
"BTP0581029","CLP",2029-10-01,2024-10-01,70000,239000,70000,5.18,3.41428571428571
"BTP0600433","CLP",2033-04-01,2024-10-01,1e+05,113600,91600,5.23,1.136
"BTU0281155","CLF",2055-11-01,2024-10-01,2500,7030,2500,1.51,2.812
"BTP0491127","CLP",2027-11-01,2024-10-03,70000,56000,41000,5.08,0.8
"BTP0621040","CLP",2040-10-01,2024-10-03,1e+05,92000,90000,5.16,0.92
"BTP0581029","CLP",2029-10-01,2024-10-09,60000,223000,60000,5.47,3.71666666666667
"BTP0600433","CLP",2033-04-01,2024-10-09,1e+05,154000,99000,5.57,1.54
"BTP0621040","CLP",2040-10-01,2024-10-16,80000,204000,80000,5.39,2.55
"BTU0281155","CLF",2055-11-01,2024-10-16,1000,3270,1000,1.84,3.27
"BTP0581029","CLP",2029-10-01,2024-10-22,50000,79000,49000,5.6,1.58
"BTP0600433","CLP",2033-04-01,2024-10-22,55000,114600,55000,5.73,2.08363636363636
"BTP0491127","CLP",2027-11-01,2024-10-24,50000,111800,50000,5.3,2.236
"BTP0621040","CLP",2040-10-01,2024-10-24,60000,1e+05,55000,5.52,1.66666666666667
"BTP0581029","CLP",2029-10-01,2024-11-12,55000,104000,55000,5.83,1.89090909090909
"BTP0621040","CLP",2040-10-01,2024-11-12,60000,96000,60000,5.49,1.6
"BTU0281155","CLF",2055-11-01,2024-11-12,2000,2490,1930,1.94,1.245
"BTP0491127","CLP",2027-11-01,2024-11-14,50000,46400,36400,5.6,0.928
"BTP0600433","CLP",2033-04-01,2024-11-14,50000,131600,50000,5.97,2.632
"BTP0621040","CLP",2040-10-01,2024-11-19,60000,45000,37000,5.59,0.75
"BTU0281155","CLF",2055-11-01,2024-11-19,2000,1970,1970,1.9,0.985
"BTP0581029","CLP",2029-10-01,2024-11-21,55000,349000,55000,5.69,6.34545454545455
"BTP0600433","CLP",2033-04-01,2024-11-26,50000,220400,32200,5.76,4.408
"BTU0281155","CLF",2055-11-01,2024-11-26,2000,3980,2000,1.79,1.99
"BTP0000825","CLP",2025-08-26,2025-01-30,4e+05,1403000,4e+05,5,3.5075
"BTP0610456","CLP",2056-04-01,2025-01-30,40000,59000,33000,5.8,1.475
"BTP0001025","CLP",2025-10-24,2025-02-04,4e+05,1430000,4e+05,5,3.575
"BTP0500335","CLP",2035-03-01,2025-02-04,40000,40000,40000,6.02,1
"BTU0281155","UF",2055-11-01,2025-02-04,1000,1460,1000,2.51,1.46
"BTP0000825","CLP",2025-08-26,2025-02-06,350000,1090600,350000,4.98,3.116
"BTP0610456","CLP",2056-04-01,2025-02-06,40000,83200,40000,5.82,2.08
"BTU0200335","UF",2035-03-01,2025-02-06,1000,2130,1000,2.51,2.13
"BTP0001025","CLP",2025-10-24,2025-02-11,350000,1087600,350000,4.98,3.10742857142857
"BTP0500335","CLP",2035-03-01,2025-02-11,40000,94000,40000,6.05,2.35
"BTU0281155","UF",2055-11-01,2025-02-11,1000,1560,1000,2.48,1.56
"BTP0000527","CLP",2027-05-06,2025-02-18,50000,103000,50000,5.33,2.06
"BTP0610456","CLP",2056-04-01,2025-02-18,40000,66000,40000,5.99,1.65
