"Moneda","Madurez","Fecha_Licitacion","Monto","Tasa","Tenor"
"CLP",2025-10-24,2025-02-04,4e+05,5,"CP"
"CLP",2035-03-01,2025-02-04,40000,6.02,"LP"
"UF",2055-11-01,2025-02-04,1,2.51,"LP"
"CLP",2025-08-26,2025-02-06,350000,4.98,"CP"
"CLP",2027-05-06,2025-02-06,NA,NA,"LP"
"CLP",2056-04-01,2025-02-06,40000,5.82,"LP"
"UF",2035-03-01,2025-02-06,1,2.51,"LP"
"CLP",2025-10-24,2025-02-11,350000,4.98,"CP"
"CLP",2035-03-01,2025-02-11,40000,6.05,"LP"
"UF",2055-11-01,2025-02-11,1,2.48,"LP"
"CLP",2027-05-06,2025-02-18,50000,5.33,"LP"
"CLP",2056-04-01,2025-02-18,40000,5.99,"LP"
"UF",2035-03-01,2025-02-18,0.87,2.58,"LP"
"CLP",2025-11-26,2025-02-20,350000,4.9,"CP"
"CLP",2025-11-26,2025-02-25,3e+05,4.85,"CP"
"CLP",2035-03-01,2025-02-25,40000,5.91,"LP"
"UF",2035-03-01,2025-02-25,1,2.68,"LP"
"CLP",2027-05-06,2025-02-27,50000,5.3,"LP"
"CLP",2056-04-01,2025-02-27,35000,5.86,"LP"
"UF",2035-03-01,2025-02-27,1,2.65,"LP"
"CLP",2025-10-24,2025-03-04,3e+05,4.9,"CP"
"CLP",2035-03-01,2025-03-04,40000,5.86,"LP"
"UF",2055-11-01,2025-03-04,1.5,2.45,"LP"
"CLP",2025-08-26,2025-03-11,3e+05,4.84,"CP"
"CLP",2027-05-06,2025-03-11,50000,5.31,"LP"
"CLP",2056-04-01,2025-03-11,40000,5.83,"LP"
"UF",2035-03-01,2025-03-11,1,2.53,"LP"
"CLP",2025-11-26,2025-03-13,350000,4.8,"CP"
"CLP",2035-03-01,2025-03-13,40000,5.78,"LP"
"UF",2055-11-01,2025-03-13,1.5,2.45,"LP"
"CLP",2025-11-26,2025-03-18,350000,4.77,"CP"
"CLP",2025-10-24,2025-03-25,225000,4.89,"CP"
"CLP",2035-03-01,2025-03-25,39000,5.75,"LP"
"UF",2035-03-01,2025-03-25,1,2.53,"LP"
"UF",2055-11-01,2025-03-25,1.5,2.43,"LP"
"CLP",2025-08-26,2025-03-27,225000,4.9,"CP"
"CLP",2027-05-06,2025-03-27,50000,5.3,"LP"
"CLP",2035-03-01,2025-03-27,40000,5.84,"LP"
"UF",2035-03-01,2025-03-27,1,2.63,"LP"
"CLP",2027-05-06,2025-04-01,50000,5.1,"LP"
"CLP",2035-03-01,2025-04-01,30000,5.87,"LP"
"UF",2035-03-01,2025-04-01,1,2.57,"LP"
"CLP",2056-04-01,2025-04-03,40000,5.58,"LP"
"UF",2055-11-01,2025-04-03,1,2.25,"LP"
"CLP",2027-05-06,2025-04-09,50000,5.12,"LP"
"CLP",2033-04-01,2025-04-09,50000,5.78,"LP"
"UF",2028-10-01,2025-04-09,1,2.19,"LP"
"UF",2035-03-01,2025-04-09,1,2.4,"LP"
"CLP",2025-10-24,2025-04-15,450000,4.9,"CP"
"CLP",2029-10-01,2025-04-15,80000,5.57,"LP"
"CLP",2035-03-01,2025-04-15,30000,5.59,"LP"
"UF",2030-09-01,2025-04-15,1.5,2.33,"CP"
"UF",2055-11-01,2025-04-15,1.2,2.41,"LP"
"CLP",2025-11-26,2025-04-17,450000,4.75,"CP"
"CLP",2027-05-06,2025-04-17,60000,5.1,"LP"
"CLP",2033-04-01,2025-04-17,80000,5.82,"LP"
"CLP",2056-04-01,2025-04-17,40000,5.73,"LP"
"UF",2028-10-01,2025-04-17,1.5,2.27,"LP"
"CLP",2025-08-26,2025-04-22,3e+05,4.95,"CP"
"CLP",2029-10-01,2025-04-22,80000,5.56,"LP"
"UF",2030-09-01,2025-04-22,1.5,2.44,"CP"
"UF",2055-11-01,2025-04-22,1.2,2.36,"LP"
"CLP",2025-10-24,2025-04-24,275000,4.87,"CP"
"CLP",2027-05-06,2025-04-24,60000,5.1,"LP"
"CLP",2056-04-01,2025-04-24,33000,5.74,"LP"
"UF",2028-10-01,2025-04-24,1.5,2.23,"LP"
"UF",2035-03-01,2025-04-24,1.5,2.51,"LP"
"CLP",2025-11-26,2025-04-30,2e+05,4.7,"CP"
"CLP",2029-10-01,2025-04-30,80000,5.5,"LP"
"CLP",2035-03-01,2025-04-30,30000,5.7,"LP"
"UF",2030-09-01,2025-04-30,1.5,2.39,"CP"
"UF",2055-11-01,2025-04-30,1.19,2.37,"LP"
"CLP",2027-05-06,2025-05-06,60000,5.03,"LP"
"CLP",2033-04-01,2025-05-06,80000,5.74,"LP"
"UF",2028-10-01,2025-05-06,1.5,2.24,"LP"
"UF",2035-03-01,2025-05-06,1.5,2.55,"LP"
"CLP",2029-10-01,2025-05-14,55000,5.6,"LP"
"CLP",2035-03-01,2025-05-14,30000,5.82,"LP"
"UF",2030-09-01,2025-05-14,1.5,2.56,"CP"
"UF",2055-11-01,2025-05-14,1.19,2.49,"LP"
"CLP",2056-04-01,2025-05-20,60000,5.9,"LP"
"UF",2028-10-01,2025-05-20,1.5,2.33,"LP"
"UF",2035-03-01,2025-05-20,NA,NA,"LP"
"CLP",2027-05-06,2025-05-22,60000,5.08,"LP"
"CLP",2033-04-01,2025-05-22,80000,5.84,"LP"
"UF",2030-09-01,2025-05-22,1.5,2.6,"CP"
"UF",2055-11-01,2025-05-22,1.13,2.52,"LP"
"CLP",2029-10-01,2025-05-27,55000,5.56,"LP"
"CLP",2056-04-01,2025-05-27,59000,5.92,"LP"
"UF",2028-10-01,2025-05-27,1.5,2.4,"LP"
"CLP",2027-05-06,2025-05-29,60000,5.04,"LP"
"CLP",2033-04-01,2025-05-29,60000,5.82,"LP"
"UF",2030-09-01,2025-05-29,1.5,2.56,"CP"
"UF",2055-11-01,2025-05-29,1.2,2.6,"LP"
"CLP",2029-10-01,2025-06-03,50000,5.5,"LP"
"UF",2028-10-01,2025-06-03,1.5,2.33,"LP"
"UF",2035-03-01,2025-06-03,0.87,2.6,"LP"
"CLP",2027-05-06,2025-06-05,60000,4.96,"LP"
"CLP",2033-04-01,2025-06-05,50000,5.75,"LP"
"CLP",2056-04-01,2025-06-05,NA,NA,"LP"
"UF",2030-09-01,2025-06-05,1.5,2.49,"CP"
"CLP",2029-10-01,2025-06-10,50000,5.5,"LP"
"UF",2028-10-01,2025-06-10,1.5,2.3,"LP"
"UF",2035-03-01,2025-06-10,1.5,2.63,"LP"
"CLP",2033-04-01,2025-06-12,50000,5.71,"LP"
"CLP",2056-04-01,2025-06-12,58000,5.85,"LP"
"UF",2030-09-01,2025-06-12,1.5,2.46,"CP"
"UF",2055-11-01,2025-06-12,1.09,2.6,"LP"
"CLP",2027-05-06,2025-06-24,60000,4.78,"LP"
