"Periodo","Deuda_Interna","Deuda_Externa","Deuda_Total"
2020-07-31,370931558.442138,225351143.676149,596282702.118286
2020-08-31,376384401.652381,228617387.384082,605001789.036463
2020-09-30,381096820.581451,234887113.197565,615983933.779016
2020-10-31,386180461.83327,233180526.374967,619360988.208237
2020-11-30,392091792.561637,218991935.672278,611083728.233914
2020-12-31,389845971.685541,229745919.543304,619591891.228846
2021-01-31,388592268.101098,243591292.947004,632183561.048102
2021-02-28,395169322.787024,245304678.198026,640474000.98505
2021-03-31,395354161.14001,250140159.593581,645494320.733591
2021-04-30,403017911.966248,258482085.824348,661499997.790596
2021-05-31,410119718.454731,258375728.10373,668495446.558461
2021-06-30,413470961.503563,262777531.42584,676248492.929403
2021-07-31,422013042.975023,268563420.634192,690576463.609216
2021-08-31,415886465.238721,265529619.14862,681416084.387341
2021-09-30,427554297.348033,267862234.31793,695416531.665963
2021-10-31,426842206.870814,268726974.821901,695569181.692716
2021-11-30,433553899.959611,287923158.820221,721477058.779832
2021-12-31,431911976.938601,292406808.277356,724318785.215956
2022-01-31,440175508.746235,291162922.519272,731338431.265507
2022-02-28,448526863.435831,286686755.372542,735213618.808373
2022-03-31,453346850.540777,274339150.043204,727686000.583981
2022-04-30,459674204.290423,287640476.379531,747314680.669954
2022-05-31,466798478.747605,286605667.35831,753404146.105914
2022-06-30,461856533.521325,302011059.22085,763867592.742175
2022-07-31,474058189.906763,315095026.248647,789153216.155411
2022-08-31,481587686.704621,323383804.696217,804971491.400837
2022-09-30,488647776.67772,332477514.83814,821125291.515859
2022-10-31,495855480.241924,353038059.908455,848893540.150378
2022-11-30,497659565.622535,355095948.262747,852755513.885281
2022-12-31,507274402.142665,365470273.522655,872744675.66532
2023-01-31,513946359.972773,353018742.605556,866965102.578328
2023-02-28,509550491.873926,373852531.27736,883403023.151286
2023-03-31,521861539.49655,356328664.45581,878190203.95236
2023-04-30,531976745.406919,359125228.886596,891101974.293515
2023-05-31,538927392.145409,337385404.896548,876312797.041956
2023-06-30,541204033.165417,321268837.825108,862472870.990525
2023-07-31,546003327.016563,301673923.922899,847677250.939462
2023-08-31,552383203.63443,312827193.051052,865210396.685482
2023-09-30,549730139.955093,312338043.028515,862068182.983608
2023-10-31,562865139.264529,309430485.881526,872295625.146055
2023-11-30,566145930.144412,315853047.896824,881998978.041236
2023-12-31,558650607.417496,306707695.718475,865358303.135971
2024-01-31,563415269.835742,314575667.394015,877971326.784757
2024-02-28,577611443.332862,314755135.656423,892366578.989285
2024-03-31,580752455.698637,306729066.395014,887481522.093651
2024-04-30,594626557.412703,313571353.826844,908197911.239547
2024-05-31,603935972.80374,309472104.124253,913408076.927993
2024-06-30,617766092.979602,330250843.963585,948016936.943187
2024-07-31,618422117.494567,328918001.800906,947340119.295473
2024-08-31,627611433.966864,332431916.97268,960043350.939544
2024-09-30,636900884.747201,332953444.976654,969854329.723856
2024-10-31,640730085.609661,351153005.789348,991883091.399009
2024-11-30,649870608.277205,363087345.522027,1012957953.79923
2024-12-31,661813894.799901,360208169.179494,1022022063.97939
2025-01-31,690671735.989664,340860555.273565,1031532291.26323
2025-02-28,701814462.052489,333545662.335987,1035360124.38848
2025-03-31,713662735.284462,340343823.629977,1054006558.91444
2025-04-30,730905082.712113,356579468.158583,1087484550.8707
2025-05-31,741790933.920692,348950001.986033,1090740935.90672
2025-06-30,749205521.92693,343288654.809809,1092494176.73674
2025-07-31,770906145.802864,351407933.170891,1122314078.97376
2025-08-31,782194425.788532,323414014.555284,1105608440.34382
2025-09-30,808195320.502667,367050868.499747,1175246189.00241
2025-10-31,812537498.92688,368097752.356567,1180635251.28345
2025-11-30,826598257.71859,349663510.400488,1176261768.11908
2025-12-31,838545372.036461,354086938.812154,1192632310.84861
2026-01-31,840973558.024359,364801453.300488,1205775011.32485
2026-02-28,865455158.376801,372825107.168182,1238280265.54498
2026-03-31,865890404.243668,349578259.787847,1215468664.03151
2026-04-30,867253222.378795,314196135.307932,1181449357.68673
2026-05-31,881667750.536607,288188272.17666,1169856022.71327
